Date,AM,PM
1,104.17,204.17
2,83.33,183.33
3,95.83,166.67
4,91.67,179.17
5,104.17,129.17
6,112.5,212.5
7,116.67,241.67
8,95.83,212.5
9,145.83,212.5
10,116.67,179.17
11,79.17,175.0
12,100.0,229.17
13,112.5,170.83
14,150.0,229.17
15,158.33,179.17
16,116.67,225.0
17,108.33,137.5
18,95.83,141.67
19,87.5,158.33
20,137.5,200.0
21,104.17,233.33
22,145.83,195.83
23,91.67,254.17
24,145.83,175.0
25,100.0,150.0
26,104.17,208.33
27,116.67,175.0
28,91.67,262.5
29,166.67,195.83
30,150.0,195.83
