Hour,N,Y
0,102,90
1,84,120
2,52,90
3,54,170
4,50,60
5,52,40
6,80,70
7,112,110
8,154,210
9,174,150
10,198,210
11,208,310
12,216,150
13,190,250
14,162,190
15,180,180
16,200,270
17,238,200
18,228,220
19,190,220
20,198,250
21,174,190
22,174,130
23,142,240
