Date,AM,PM
1,1250,2450
2,1000,2200
3,1150,2000
4,1100,2150
5,1250,1550
6,1350,2550
7,1400,2900
8,1150,2550
9,1750,2550
10,1400,2150
11,950,2100
12,1200,2750
13,1350,2050
14,1800,2750
15,1900,2150
16,1400,2700
17,1300,1650
18,1150,1700
19,1050,1900
20,1650,2400
21,1250,2800
22,1750,2350
23,1100,3050
24,1750,2100
25,1200,1800
26,1250,2500
27,1400,2100
28,1100,3150
29,2000,2350
30,1800,2350
