Day_of_Week,0:00-5:59AM,6:00-11:59AM,12:00-5:59PM,6:00-11:59PM
Monday,1550,4050,4200,3700
Tuesday,1450,2950,3750,4000
Wednesday,1450,3300,4650,4050
Thursday,1850,3900,4300,4800
Friday,1700,3850,5550,6050
Saturday,2600,5450,6350,5500
Sunday,2100,4950,7050,5800
