Day_of_Week,0:00-5:59AM,6:00-11:59AM,12:00-5:59PM,6:00-11:59PM
Monday,64.58,168.75,175.0,154.17
Tuesday,60.42,122.92,156.25,166.67
Wednesday,60.42,137.5,193.75,168.75
Thursday,77.08,162.5,179.17,200.0
Friday,70.83,160.42,231.25,252.08
Saturday,86.67,181.67,211.67,183.33
Sunday,70.0,165.0,235.0,193.33
