Hour,N,Y
0,0.85,0.15
1,0.78,0.22
2,0.74,0.26
3,0.61,0.39
4,0.81,0.19
5,0.87,0.13
6,0.85,0.15
7,0.84,0.16
8,0.79,0.21
9,0.85,0.15
10,0.82,0.18
11,0.77,0.23
12,0.88,0.12
13,0.79,0.21
14,0.81,0.19
15,0.83,0.17
16,0.79,0.21
17,0.86,0.14
18,0.84,0.16
19,0.81,0.19
20,0.8,0.2
21,0.82,0.18
22,0.87,0.13
23,0.75,0.25
