Date,Unit_Consumption
1,154.17
2,133.33
3,131.25
4,135.42
5,116.67
6,162.5
7,179.17
8,154.17
9,179.17
10,147.92
11,127.08
12,164.58
13,141.67
14,189.58
15,168.75
16,170.83
17,122.92
18,118.75
19,122.92
20,168.75
21,168.75
22,170.83
23,172.92
24,160.42
25,125.0
26,156.25
27,145.83
28,177.08
29,181.25
30,172.92
