Hour,N,Y
0,2000,1000
1,1700,1000
2,1200,550
3,1050,1150
4,1000,550
5,1050,450
6,1800,550
7,2300,1050
8,2750,2150
9,3600,1500
10,3550,2450
11,4050,2700
12,4000,2150
13,3950,2050
14,2900,2100
15,3200,2200
16,3900,2450
17,4500,2450
18,4400,2400
19,3700,2150
20,4100,2100
21,3750,1550
22,3550,1450
23,3100,1650
