Day_of_Week,AM,PM
Monday,116.67,164.58
Tuesday,91.67,161.46
Wednesday,98.96,181.25
Thursday,119.79,189.58
Friday,115.62,241.67
Saturday,134.17,197.5
Sunday,117.5,214.17
