Hour,N,Y
0,0.67,0.33
1,0.63,0.37
2,0.69,0.31
3,0.48,0.52
4,0.65,0.35
5,0.7,0.3
6,0.77,0.23
7,0.69,0.31
8,0.56,0.44
9,0.71,0.29
10,0.59,0.41
11,0.6,0.4
12,0.65,0.35
13,0.66,0.34
14,0.58,0.42
15,0.59,0.41
16,0.61,0.39
17,0.65,0.35
18,0.65,0.35
19,0.63,0.37
20,0.66,0.34
21,0.71,0.29
22,0.71,0.29
23,0.65,0.35
