Hour,N,Y
0,100.0,100.0
1,85.0,100.0
2,60.0,55.0
3,52.5,115.0
4,50.0,55.0
5,52.5,45.0
6,90.0,55.0
7,115.0,105.0
8,137.5,215.0
9,180.0,150.0
10,177.5,245.0
11,202.5,270.0
12,200.0,215.0
13,197.5,205.0
14,145.0,210.0
15,160.0,220.0
16,195.0,245.0
17,225.0,245.0
18,220.0,240.0
19,185.0,215.0
20,205.0,210.0
21,187.5,155.0
22,177.5,145.0
23,155.0,165.0
