Hour,N,Y
0,2550,450
1,2100,600
2,1300,450
3,1350,850
4,1250,300
5,1300,200
6,2000,350
7,2800,550
8,3850,1050
9,4350,750
10,4950,1050
11,5200,1550
12,5400,750
13,4750,1250
14,4050,950
15,4500,900
16,5000,1350
17,5950,1000
18,5700,1100
19,4750,1100
20,4950,1250
21,4350,950
22,4350,650
23,3550,1200
